Crop Name,Product Name,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Garlic Scape,Garlic Scape - lb,$8.00,lb,3,-lb,true
Garlic Scape,Garlic Scape - bunch,$3.00,bunch,1,-bu,true
Kale Curly,Kale Curly - bunch,$4.00,bunch,1,-bu,true
Kale Curly,Kale Curly - 12 bu,$30.00,12 bu,12,-12 bu,true
Kale Lacinato,Kale Lacinato - bunch,$4.00,bunch,1,-bu,true
Kale Lacinato,Kale Lacinato - 12 bu,$30.00,12 bu,12,-12 bu,true
Kale Loose,Kale Loose - 1 lb,$8.00,1 lb,1,-1 lb,true
Kale Russian,Kale Russian - bunch,$4.00,bunch,1,-bu,true
Kale Russian,Kale Russian - 12 bu,$30.00,12 bu,12,-12 bu,true
Kohlrabi,Kohlrabi - bunch,$3.50,bunch,1,-bu,true
Kohlrabi,Kohlrabi - 12 bu,$30.00,12 bu,12,-12 bu,true
Kohlrabi Storage,Kohlrabi Storage - each,$4.00,each,1,-ea,true
Komatsuna,Komatsuna - bunch,$4.00,bunch,1,-bu,true
Komatsuna,Komatsuna - 12 bu,$27.00,12 bu,12,-12 bu,true
Leek,Leek - bunch,$4.00,bunch,3,-bu,true
Lettuce Head,Lettuce Head - head,$3.00,head,1,-hd,true
Lettuce Head,Lettuce Head - 6 heads,$12.00,6 heads,6,-6 hd,true
Lettuce Mini/Gem,Lettuce Mini/Gem - lb,$5.00,lb,4,-lb,true
Lettuce Mini/Gem,Lettuce Mini/Gem - head,$3.00,head,1,-hd,true
Lettuce Mini/Gem,Lettuce Mini/Gem - 5 lbs,$22.50,5 lbs,40,-5 lb,true
Lettuce Mini/Gem,Lettuce Mini/Gem - 12 heads,$18.00,12 heads,12,-12 hd,true
Melons,Melons - lb,$2.00,lb,1,-lb,true
Microgreens,Microgreens - 1/4 lb,$8.00,1/4 lb,0.25,-1/4 lb,true
Mustard,Mustard - bunch,$4.00,bunch,1,-bu,true
Mustard,Mustard - 12 bu,$27.00,12 bu,12,-12 bu,true
Mustard Baby,Mustard Baby - lb,$15.00,lb,1,-lb,true
Mustard Baby,Mustard Baby - 1/2 lb,$7.00,1/2 lb,1,-1/2 lb,true
Okra,Okra - pint,$5.00,pint,0.5,-pt,true
Onion Bulk,Onion Bulk - lb,$3.00,lb,1,-lb,true
Onion Spring,Onion Spring - bunch,$4.00,bunch,1,-bu,true
Onion Spring Red,Onion Spring Red - bunch,$4.00,bunch,1,-bu,true
Parsley,Parsley - bunch,$3.00,bunch,1,-bu,true
Parsley,Parsley - 12 bu,$24.00,12 bu,12,-12 bu,true
Parsnip,Parsnip - lb,$3.00,lb,1,-lb,true
Pea Shelling,Pea Shelling - quart,$9.00,quart,1,-qt,true
Pea Shelling,Pea Shelling - pint,$5.00,pint,0.5,-pt,true
Pea Snap,Pea Snap - pint,$5.00,pint,0.5,-pt,true
Pea Snap,Pea Snap - lb,$9.00,lb,1,-lb,true
Pepper Carmen,Pepper Carmen - quart,$6.00,quart,1.25,-qt,true
Pepper Carmen,Pepper Carmen - lb,$4.00,lb,1,-lb,true
Pepper Carmen,Pepper Carmen - 10 lbs,$30.00,10 lbs,10,-10 lbs,true
Pepper Hot,Pepper Hot - pint,$4.00,pint,0.5,-pt,true
Pepper Hot,Pepper Hot - lb,$8.00,lb,1,-lb,true
Pepper Hot,Pepper Hot - each,$1.00,each,0.2,-ea,true
Pepper Mini,Pepper Mini - quart,$6.00,quart,1,-qt,true
Pepper Mini,Pepper Mini - pint,$3.00,pint,0.5,-pt,true
Pepper Shishito,Pepper Shishito - quart,$7.00,quart,0.67,-qt,true
Pepper Shishito,Pepper Shishito - pint,$4.00,pint,0.33,-pt,true
Pepper Shishito,Pepper Shishito - lb,$5.50,lb,1,-lb,true
Potato Blue,Potato Blue - lb,$3.00,lb,1,-lb,true
Potato Fingerling,Potato Fingerling - lb,$3.00,lb,1,-lb,true
Potato White,Potato White - lb,$3.00,lb,1,-lb,true
Potato Yellow,Potato Yellow - lb,$3.00,lb,1,-lb,true
Puntarelle,Puntarelle - lb,$6.00,lb,1,-lb,true
Puntarelle,Puntarelle - 10 lbs,$50.00,10 lbs,10,-10 lbs,true
Radicchio ,Radicchio  - lb,$6.00,lb,1,-lb,true
Radicchio ,Radicchio  - 10 lbs,$35.00,10 lbs,10,-10 lbs,true
Radicchio Forced,Radicchio Forced - lb,$18.00,lb,3,-lb,true
Radicchio Forced,Radicchio Forced - 10 lbs,$120.00,10 lbs,33,-10 lbs,true
Radicchio Specialty,Radicchio Specialty - lb,$6.00,lb,1,-lb,true
Radicchio Specialty,Radicchio Specialty - 10 lbs,$45.00,10 lbs,14,-10 lbs,true
Radicchio Sugarloaf,Radicchio Sugarloaf - lb,$3.00,lb,1,-lb,true
Radicchio Sugarloaf,Radicchio Sugarloaf - 10 lbs,$35.00,10 lbs,10,-10 lbs,true
Radicchio Variegated,Radicchio Variegated - lb,$6.00,lb,1,-lb,true
Radicchio Variegated,Radicchio Variegated - 10 lbs,$35.00,10 lbs,20,-10 lbs,true
Radish Bulk,Radish Bulk - lb,$3.00,lb,1,-lb,true
Radish Bulk,Radish Bulk - 10 lbs,$10.00,10 lbs,10,-10 lbs,true
Radish French Breakfast,Radish French Breakfast - bunch,$3.50,bunch,1,-bu,true
Radish French Breakfast,Radish French Breakfast - 12 bu,$27.00,12 bu,12,-12 bu,true
Radish Mix,Radish Mix - bunch,$4.00,bunch,1,-bu,true
Radish Round,Radish Round - bunch,$3.50,bunch,1,-bu,true
Radish Round,Radish Round - 12 bu,$27.00,12 bu,12,-12 bu,true
Radish Round Purple,Radish Round Purple - bunch,$3.50,bunch,1,-bu,true
Radish Round Purple,Radish Round Purple - 12 bu,$27.00,12 bu,12,-12 bu,true
Sage,Sage - bunch,$3.00,bunch,1,-bu,true
Scallion,Scallion - bunch,$3.00,bunch,1,-bu,true
Scallion,Scallion - 12 bu,$24.00,12 bu,12,-12 bu,true
Scallion Negi,Scallion Negi - bunch,$3.00,bunch,1,-bu,true
Shiso,Shiso - bunch,$3.00,bunch,1,-bu,true
Spinach,Spinach - 5 lbs,$25.00,5 lbs,5,-5 lb,true
Spinach,Spinach - 1/2 lb,$6.00,1/2 lb,0.5,-1/2 lb,true
Spinach,Spinach - 1 lb,$12.00,1 lb,1,-1 lb,true
Spring Mix,Spring Mix - lb,$10.00,lb,1,-lb,true
Spring Mix,Spring Mix - 5 lbs,$45.00,5 lbs,5,-5 lb,true
Spring Mix,Spring Mix - 2/3 lb,$11.00,2/3 lb,0.67,-2/3 lb,true
Spring Mix,Spring Mix - 1/3 lb,$6.00,1/3 lb,0.35,-1/3 lb,true
Summer Mix,Summer Mix - lb,$10.00,lb,1,-lb,true
Summer Mix,Summer Mix - 5 lbs,$45.00,5 lbs,5,-5 lb,true
Summer Mix,Summer Mix - 2/3 lb,$11.00,2/3 lb,0.67,-2/3 lb,true
Summer Mix,Summer Mix - 1/3 lb,$6.00,1/3 lb,0.35,-1/3 lb,true
Sweet Potatoes,Sweet Potatoes - lb,$3.00,lb,1,-lb,true
Tatsoi,Tatsoi - bunch,$4.00,bunch,3,-bu,true
Tomatillo,Tomatillo - pint,$4.00,pint,1,-pt,true
Tomato Cherry,Tomato Cherry - pint,$4.00,pint,1,-pt,true
Tomato Cherry,Tomato Cherry - 12 pints,$28.00,12 pints,12,-12 pt,true
Tomato Heirloom,Tomato Heirloom - lb,$4.50,lb,1,-lb,true
Tomato Heirloom,Tomato Heirloom - 10 lbs,$37.50,10 lbs,10,-10 lbs,true
Tomato Red,Tomato Red - quart,$6.00,quart,1.5,-qt,true
Tomato Red,Tomato Red - lb,$4.00,lb,1,-lb,true
Tomato Red,Tomato Red - 10 lbs,$25.00,10 lbs,10,-10 lbs,true
Tomato Sauce,Tomato Sauce - quart,$6.00,quart,1.5,-qt,true
Tomato Sauce,Tomato Sauce - pint,$4.00,pint,0.68,-pt,true
Tomato Sauce,Tomato Sauce - 10 lbs,$30.00,10 lbs,10,-10 lbs,true
Turnip,Turnip - bunch,$4.00,bunch,1,-bu,true
Turnip,Turnip - 12 bu,$27.00,12 bu,12,-12 bu,true
Turnip Bulk,Turnip Bulk - lb,$3.00,lb,1,-lb,true
Turnip Bulk,Turnip Bulk - 10 lbs,$15.00,10 lbs,10,-10 lbs,true
Watermelon,Watermelon - lb,$2.00,lb,1,-lb,true
Winter Mix,Winter Mix - lb,$15.00,lb,1,-lb,true
Winter Mix,Winter Mix - 2/3 lb,$11.00,2/3 lb,0.67,-2/3 lb,true
Winter Mix,Winter Mix - 1/3 lb,$6.00,1/3 lb,0.33,-1/3 lb,true
Winter Squash Acorn Type,Winter Squash Acorn Type - lb,$3.00,lb,1,-lb,true
Winter Squash Butternut,Winter Squash Butternut - lb,$2.00,lb,1,-lb,true
Winter Squash Delicata,Winter Squash Delicata - lb,$3.00,lb,1,-lb,true
Winter Squash Honeynut,Winter Squash Honeynut - lb,$3.00,lb,1,-lb,true
Winter Squash Spaghetti,Winter Squash Spaghetti - lb,$2.00,lb,1,-lb,true
Winter Squash Specialty,Winter Squash Specialty - lb,$2.00,lb,1,-lb,true
Zucchini,Zucchini - lb,$3.00,lb,1,-lb,true
Zucchini,Zucchini - 10 lbs,$15.00,10 lbs,10,-10 lbs,true
Asparagus,Asparagus - bunch,$5.00,bunch,0.6,-bu,true
Spring Mix,Spring Mix - 1.5 lb,$25.00,1.5 lb,1.5,-1.5 lb,true
Summer Mix,Summer Mix - 1.5 lb,$25.00,1.5 lb,1.5,-1.5 lb,true
Fall Mix,Fall Mix - 1.5 lb,$25.00,1.5 lb,1.5,-1.5 lb,true
Winter Mix,Winter Mix - 1.5 lb,$25.00,1.5 lb,1.5,-1.5 lb,true
