Crop,Variety,Supplier,Catalog Number,Source URL,Notes
Lettuce Mix SN,Green Oakleaf,Johnny's Seeds,,,
Lettuce Mix SN,Red Gem SN,Johnny's Seeds,,,
Lettuce Mix SN,Red Inscised SN,Johnny's Seeds,,,
Lettuce Mix SN,Red Oakleaf,Johnny's Seeds,,,
Lettuce Mix SN,Rhone,Johnny's Seeds,,,
Lettuce Mix SN,(Summer) Foundation Mix + Batavia,Johnny's Seeds,,,
Okra,Annie Oakley OP,Experimental Farm Network,,,
Okra,Carmine Splendor,Johnny's Seeds,,,
Okra,Jambalaya,Johnny's Seeds,,,
Onion Spring,Ailsa Craig,Johnny's Seeds,,,
Onion Spring,Blush,Johnny's Seeds,,,
Onion Spring,Expression,Johnny's Seeds,,,
Onion Spring,Monastrell,Osborne Seed Company,,,
Onion Spring,Red Tropea,Johnny's Seeds,,,
Lettuce Mix SN,(Winter) Prismatic + Batavian,Johnny's Seeds,,,
Mustard,Miike Giant,Kitazawa,,,Old AF
Oats & Peas,Standard,TBD,,,
Parsley,Giant of Italy,Johnny's Seeds,,,12/24
Peas Snap PP,Super Sugar Snap,Johnny's Seeds,,,
Pea Shelling,PLS595,Johnny's Seeds,,,
Pea Snap,Super Sugar Snap,Johnny's Seeds,,,
Pea Snap,Sweet Gem,High Mowing Seeds,,,
Pepper Hot,Salvatierra,Osborne Seed Company,,,
Pepper Lunchbox,Lunchbox Mix,Johnny's Seeds,,,
Pepper Carmen,Carmen,Johnny's Seeds,,,
Pepper Shishito,Shishito,Johnny's Seeds,,,
Pepper Hot,Amazing,Kitazawa,,,
Potato Blue,All Blue,Maine Potato Lady,,,
Potato Fingerling,Amarosa,Maine Potato Lady,,,
Potato Fingerling,French,Maine Potato Lady,,,
Potato Fingerling,LaRatte,Maine Potato Lady,,,
Pepper Hot,Jedi Jalapeno,Johnny's Seeds,,,
Pepper Shishito,Shishimai,Johnny's Seeds,,,
Potato Blue,Adirondack Blue,Fedco Seeds,,,
Potato White,Superior,Maine Potato Lady,,,
Potato White,Dark Red Norland,Fedco Seeds,,,
Puntarelle,Galatina,Salerno Seeds,,,
Potato White,Kennebec,Fedco Seeds,,,
Radicchio Forced,Incanatore,Uprising Seeds,,,
Radicchio Forced,Tardivo,Osborne Seed Company,,,
Potato White,Purple Viking,Maine Potato Lady,,,
Potato Yellow,Satina,Fedco Seeds,,,
Radicchio Round,Leonardo,Johnny's Seeds,,,
Puntarelle,Medusa,Uprising Seeds,,,
Radicchio Pink,Rosa Alba,Osborne Seed Company,,,
Radicchio Round,Indigo,Johnny's Seeds,,,9/24 Pe
Radicchio Treviso,Fiero,Johnny's Seeds,,,
Radicchio Round,T&T 614,Osborne Seed Company,,,
Radicchio Round,Vasari,Osborne Seed Company,,,
Radicchio Treviso,Spring Treviso,Osborne Seed Company,,,
Radicchio Treviso,TVG1 Treviso,Osborne Seed Company,,,
Radicchio Treviso,Baldo (T&T 306),Osborne Seed Company,,,3/24
Radicchio Variegated,Bel Fiore,Johnny's Seeds,,,
Radicchio Variegated,Bel Fiore,Johnny's Seeds,,,
Radicchio Treviso,Regina Rosa,Uprising Seeds,,,
Radicchio Treviso,Sangria,Uprising Seeds,,,
Radicchio Variegated,Aquerello,Uprising Seeds,,,
Radicchio Variegated,Beatrice,Uprising Seeds,,,
Radicchio Variegated,Giorgine,Johnny's Seeds,,,
Radicchio Variegated,Mirabella,Uprising Seeds,,,
Radish Daikon Mix,Mix Mix,,,,
Radish Daikon Bulk,Artesia,Osborne Seed Company,,,
Radish French Breakfast,Patricia,Osborne Seed Company,,,
Radish Daikon Bulk,Bora Nam,Osborne Seed Company,,,
Radish Red,Rover,Johnny's Seeds,,,
Radish Daikon Bulk,Red King 2,Johnny's Seeds,,,
Radish Daikon Bulk,Red Meat,Johnny's Seeds,,,
Radish French Breakfast,French Breakfast,Johnny's Seeds,,,
Radish Purple,Bacchus,Johnny's Seeds,,,
Radish Red,Sora,Johnny's Seeds,,,
Scallion,Parade,Johnny's Seeds,,,
Spinach,Kolibri,Johnny's Seeds,,,
Sweet Potato Covington,Covington,Jones Family Farms,,,
Sweet Potato Murasaki,Murasaki,Jones Family Farms,,,
Sweet Potato Murasaki,Purple Majesty (Trial),Jones Family Farms,,,
Spinach,Rangitoto,Johnny's Seeds,,,
Spinach,Space,Johnny's Seeds,,,
Spinach,Sunangel,Johnny's Seeds,,,
Tomato Cherry Mix,Artemis,Osborne Seed Company,,,
Tomato Cherry Mix,HoneyCrisp,Trial / Cornell,,,
Tomato Cherry Mix,HoneyGold,Trial / Cornell,,,
Tomato Cherry Mix,Chocolate Sprinkles,Osborne Seed Company,,,
Tomato Cherry Mix,Suncitron,Osborne Seed Company,,,
Spinach,Tarsier,Johnny's Seeds,,,
Tomato Cherry Mix,Attracta,Johnny's Seeds,,,
Tomato Cherry Mix,Attracta,Johnny's Seeds,,,
Tomato Cherry Mix,Honey Bee,Johnny's Seeds,,,
Tomato Heirloom,Black Pineapple,AP Whaley,,,
Tomato Heirloom,Cherokee Purple,Johnny's Seeds,,,
Tomato Heirloom,Green Zebra,Johnny's Seeds,,,
Tomato Heirloom,Jubilee,,,,
Tomato Cherry Mix,Mimi,Johnny's Seeds,,,
Tomato Heirloom,Pink Berkley Tie Dye,Johnny's Seeds,,,
Tomato Heirloom,Speckled Roman,Johnny's Seeds,,,
Tomato Heirloom,Striped German,Johnny's Seeds,,,
Tomato Heirloom,Valencia,Johnny's Seeds,,,
Tomato Red,Abagail,Johnny's Seeds,,,
Tomato Red,Arbason,High Mowing Seeds,,,
Tomato Red,Marmalade,High Mowing Seeds,,,
Tomato Sauce,Juliet,Johnny's Seeds,,,
Tomato Cherry Mix,SunGreen,Johnny's Seeds,,,
Turnip,Hakurei,Johnny's Seeds,,,
Turnip,Hirosaki,Johnny's Seeds,,,
Turnip,Violet Queen,Osborne Seed Company,,,
Turnip Bulk,Purple Top,Johnny's Seeds,,,
Turnip Bulk,Red,Johnny's Seeds,,,
Turnip Bulk,Rutabaga,Johnny's Seeds,,,
Tomato Heirloom,Beorange,Johnny's Seeds,,,
Tomato Cherry Mix,Sunpeach,Johnny's Seeds,,,
Tomato Cherry Sungold,SunOrange,Osborne Seed Company,,,
Tomato Heirloom,MarMango,Johnny's Seeds,,,
Winter Squash Delicata,Jester,Johnny's Seeds,,,
Tomato Heirloom,Marnouar,Johnny's Seeds,,,
Tomato Sauce,Tiren,Johnny's Seeds,,,
Triticale & Winter Peas,Standard,TBD,,,
Winter Squash Acorn,Night Shift,Johnny's Seeds,,,
Zucchini Green,Green Machine,Johnny's Seeds,,,
Winter Squash Butternut,Waltham,Johnny's Seeds,,,
Winter Squash Delicata,Delicata JS,Johnny's Seeds,,,
Winter Squash Delicata,Honeyboat,High Mowing Seeds,,,
Winter Squash Honeynut,Honeynut,High Mowing Seeds,,,
Winter Squash Kabocha,Black Futsu,Johnny's Seeds,,,
Winter Squash Kabocha,Tetsukabuto,Johnny's Seeds,,,
Sudan Grass & Sunn Hemp,Standard,TBD,,,
Winter Squash Koginut,Autumn Frost,High Mowing Seeds,,,
Zucchini Green,Noche,Johnny's Seeds,,,
Zucchini Striped,Pantheon,Johnny's Seeds,,,
Zucchini Yellow,Golden Glory,Johnny's Seeds,,,
Sweet Corn,Superb,Johnny's Seeds,,,
Sweet Corn,Vision,,,,
