Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2025-05-10,2025,Salad Mix,Greens Mix Tokyo Bekana,13,5.2,,,1.1,2025-05-08,,crop
2025-05-17,2025,Salad Mix,Greens Mix Cheap Frills,40,7,,,1.1,2025-05-15,,crop
2025-05-17,2025,Salad Mix,Greens Mix Baby Kale,5,0.9,,,1.1,2025-05-15,,crop
2025-05-17,2025,Salad Mix,Lettuce Mix SN,40,7,,,1.1,2025-05-15,,crop
2025-05-17,2025,Salad Mix,Greens Mix Mizuna,5,0.9,,,1.1,2025-05-15,,crop
2025-05-17,2025,Salad Mix,Greens Mix Rosie,5,0.9,,,1.1,2025-05-15,,crop
2025-05-17,2025,Salad Mix,Greens Mix Tokyo Bekana,5,0.9,,,1.1,2025-05-15,,crop
2025-05-24,2025,Salad Mix,Greens Mix Cheap Frills,40,14.2,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Greens Mix Baby Kale,4,1.4,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Lettuce Mix SN,40,14.2,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Greens Mix Mizuna,4,1.4,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Greens Mix Rosie,4,1.4,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Greens Mix Tokyo Bekana,4,1.4,,,1.1,2025-05-22,,crop
2025-05-24,2025,Salad Mix,Greens Mix Purslane,4,1.4,,,1.1,2025-05-22,,crop
2025-05-31,2025,Salad Mix,Greens Mix Cheap Frills,25,12.7,,,1.1,2025-05-29,,crop
2025-05-31,2025,Salad Mix,Greens Mix Baby Kale,3,1.5,,,1.1,2025-05-29,,crop
2025-05-31,2025,Salad Mix,Lettuce Mix SN,63,32.1,,,1.1,2025-05-29,,crop
2025-05-31,2025,Salad Mix,Greens Mix Mizuna,3,1.5,,,1.1,2025-05-29,,crop
2025-05-31,2025,Salad Mix,Greens Mix Rosie,3,1.5,,,1.1,2025-05-29,,crop
2025-05-31,2025,Salad Mix,Greens Mix Purslane,3,1.5,,,1.1,2025-05-29,,crop
2025-06-04,2025,Salad Mix,Greens Mix Cheap Frills,25,3.4,,,1.1,2025-06-03,,crop
2025-06-04,2025,Salad Mix,Greens Mix Baby Kale,3,0.4,,,1.1,2025-06-03,,crop
2025-06-04,2025,Salad Mix,Lettuce Mix SN,63,8.5,,,1.1,2025-06-03,,crop
2025-06-04,2025,Salad Mix,Greens Mix Mizuna,3,0.4,,,1.1,2025-06-03,,crop
2025-06-04,2025,Salad Mix,Greens Mix Rosie,3,0.4,,,1.1,2025-06-03,,crop
2025-06-04,2025,Salad Mix,Greens Mix Purslane,3,0.4,,,1.1,2025-06-03,,crop
2025-06-07,2025,Salad Mix,Greens Mix Cheap Frills,8.5,5.9,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Greens Mix Baby Kale,1,0.7,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Lettuce Mix SN,80,55.8,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Greens Mix Mizuna,1,0.7,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Greens Mix Rosie,0.5,0.3,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Greens Mix Purslane,0.5,0.3,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Lettuce Mini Gem,8,5.6,,,1.1,2025-06-05,,crop
2025-06-07,2025,Salad Mix,Greens Mix Tokyo Bekana,0.5,0.3,,,1.1,2025-06-05,,crop
2025-06-11,2025,Salad Mix,Greens Mix Cheap Frills,20,3,,,1.1,2025-06-10,,crop
