CROP & VARIETY,Nursery Seeding Year,Nursery Seeding Week,Seeded Tray Size,Seeds Per Cell,Trays To Seed,Nursery Pot Up Year,Nursery Pot Up Week,Pot Up Tray Size,Trays To Pot Up,Plan Field Week,Germ Temp,Days To Germ,Germ Notes,Nursery Seeding Notes
Kale Lacinato // Ebony,2026,13,72,1,3.5,2025,0,0,,18
Kale Lacinato // Ebony,2026,13,72,1,3.5,2025,0,0,,18
Kale Lacinato // Ebony,2026,13,72,1,3.5,2025,0,0,,18
Kale Lacinato // Ebony,2026,13,72,1,3.5,2025,0,0,,18
Broccolini // Bella Verde,2026,13,72,1,3.5,2025,0,0,,18
Broccolini // Bella Verde,2026,13,72,1,3.5,2025,0,0,,18
Broccolini // Happy Rich,2026,13,72,1,3.5,2025,0,0,,18
Broccolini // Happy Rich,2026,13,72,1,3.5,2025,0,0,,18
Broccolini // Happy Rich,2026,13,72,1,3.5,2025,0,0,,18
Cauliflower Sprouting // Song,2026,13,72,1,3.5,2025,0,0,,18
Cauliflower Sprouting // Song,2026,13,72,1,3.5,2025,0,0,,18
Cucumber // Corinto,2026,14,72,1,1.5,2025,0,0,,18
Cucumber Katrina // Katrina,2026,14,72,1,1.5,2025,0,0,,18
Cucumber Katrina // Katrina,2026,14,72,1,1.5,2025,0,0,,18
Cucumber Pickling // Excelsior,2026,14,72,1,1.5,2025,0,0,,18
Fennel // Orazio,2026,13,128,2,5,2025,0,0,,19
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,2026,14,128,1,8,2025,0,0,,19
Radicchio Round // Indigo,2026,13,128,1,4,2025,0,0,,19
Radicchio Variegated // Giorgine,2026,13,128,1,4,2025,0,0,,19
Zucchini Green // Noche,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Green // Noche,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Green // Noche,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Green // Noche,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Striped // Pantheon,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Yellow // Golden Glory,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Yellow // Golden Glory,2026,15,50,1,1.5,2025,0,0,,19
Zucchini Yellow // Golden Glory,2026,15,50,1,1.5,2025,0,0,,19
Parsley // Giant of Italy,2026,11,128,3,12,2025,0,0,,19
Scallion // Parade,2026,12,264,4,4,2025,0,0,,19
Lettuce Mini Gem // Rosaine,2024,32,128,1,,2023,0,0,,37
Lettuce Mini Gem // Rosaine,2024,32,128,1,,2023,0,0,,37
Lettuce Mini Gem // Rosaine,2024,33,128,1,,2023,0,0,,38
Scallion // Parade,2024,29,264,4,6,2023,0,0,,36
Scallion // Parade,2024,32,264,4,,2023,0,0,,39
Scallion // Parade,2024,35,264,4,,2023,0,0,,42
Dandelion // Clio,2024,32,128,1,,2023,0,0,,38,,,,"Wet soil, do not cover, stack and use saran wrap"
Dandelion // Clio,2024,32,128,1,,2023,0,0,,38,,,,"Wet soil, do not cover, stack and use saran wrap"
Cabbage Cone // Caraflex,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Cone // Caraflex,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Cone // Caraflex,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Red // Omero,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Red // Omero,2026,14,72,1,3.5,2025,0,0,,19
Tomato Cherry Mix // Artemis,2026,13,1900,1,0.2,2026,16,32,1,19
Tomato Cherry Mix // Attracta,2026,13,1900,1,0.2,2026,16,32,1,19
Tomato Cherry Mix // Chocolate Sprinkles,2026,13,1900,1,0.2,2026,16,32,2,19
Tomato Cherry Mix // Honey Bee,2026,13,1900,1,0.2,2026,16,32,2,19
Tomato Cherry Mix // Mimi,2026,13,1900,1,0.2,2026,16,32,2,19
Tomato Cherry Mix // SunGreen,2026,13,1900,1,0.2,2026,16,32,2,19
Tomato Cherry Mix // Sunpeach,2026,13,1900,1,0.2,2026,16,32,2,19
Tomato Cherry Sungold // SunOrange,2026,13,1900,1,0.2,2026,16,32,4,19
Tomato Cherry Sungold // SunOrange,2026,13,1900,1,0.2,2026,16,32,4,19
Tomato Cherry Sungold // SunOrange,2026,13,1900,1,0.2,2026,16,32,4,19
Tomato Heirloom // MarMango,2026,13,1900,1,0.2,2026,16,32,4,19
Tomato Heirloom // Marnouar,2026,13,1900,1,0.2,2026,16,32,4,19
Bean Snap TP // Nor'easter,2026,17,50,2,8,2025,0,0,,19
Bean Snap TP // Nor'easter,2026,17,50,2,8,2025,0,0,,19
Cabbage Red // Omero,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Red // Omero,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Red // Omero,2026,14,72,1,3.5,2025,0,0,,19
Cabbage Savoy // Alcosa,2026,14,72,1,3.5,2025,0,0,,19
Dandelion // Clio,2026,14,128,1,10,2025,0,0,,20,,,,"Wet soil, do not cover, stack and use saran wrap"
Escarole // Eliance,2026,15,128,1,2,2025,0,0,,20
Frisee // Curlesi,2026,15,128,1,2,2025,0,0,,20
Lettuce Head // Alkindus,2026,15,128,1,2,2025,0,0,,20
Lettuce Mini Gem // Gatsbi,2026,15,128,1,2,2025,0,0,,20
Lettuce Mini Gem // Rosaine,2026,15,128,1,3,2025,0,0,,20
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,2026,15,128,1,8,2025,0,0,,20
Eggplant Italian Black // Gaudi,2026,12,1900,1,0.2,2026,16,32,7,20
Eggplant Italian Striped // Annina,2026,12,1900,1,0.2,2026,16,32,7,20
Eggplant Italian Striped // Annina,2026,12,1900,1,0.2,2026,16,32,7,20
Eggplant Mini // Fairytale,2026,12,1900,1,0.2,2026,16,32,7,20
Eggplant Mini // Fairytale,2026,12,1900,1,0.2,2026,16,32,7,20
Scallion // Parade,2026,13,264,4,4,2025,0,0,,20
Bok Choy // Li Ren Choi,2026,16,128,1,8,2025,0,0,,20
Collards // Flash,2026,15,72,1,3.5,2025,0,0,,20
Kale Curly // Winterbor,2026,15,72,1,3.5,2025,0,0,,20
Kale Curly // Winterbor,2026,15,72,1,3.5,2025,0,0,,20
Kale Lacinato // Ebony,2026,15,72,1,3.5,2025,0,0,,20
Kale Lacinato // Ebony,2026,15,72,1,3.5,2025,0,0,,20
Kale Curly // Winterbor,2024,31,72,1,,2023,0,0,,36
Kale Curly // Winterbor,2024,31,72,1,,2023,0,0,,36
Kale Curly // Winterbor,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2024,31,72,1,,2023,0,0,,36
Kale Lacinato // Ebony,2026,15,72,1,3.5,2025,0,0,,20
Kale Lacinato // Ebony,2026,15,72,1,3.5,2025,0,0,,20
Cucumber // Corinto,2026,16,72,1,1.5,2025,0,0,,20
Cucumber // Corinto,2026,16,72,1,1.5,2025,0,0,,20
Cucumber Katrina // Katrina,2026,16,72,1,1.5,2025,0,0,,20
Kale Russian // Siberian,2024,32,72,1,,2023,0,0,,37
Kale Russian // Siberian,2024,32,72,1,,2023,0,0,,37
Cucumber Pickling // Excelsior,2026,16,72,1,1.5,2025,0,0,,20
Kale Russian // Siberian,2024,33,72,1,,2023,0,0,,38
Kale Russian // Siberian,2024,33,72,1,,2023,0,0,,38
Kale Russian // Siberian,2024,33,72,1,,2023,0,0,,38
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,2026,16,128,1,8,2025,0,0,,21
Radicchio Round // Indigo,2026,15,128,1,4,2025,0,0,,21
Radicchio Variegated // Giorgine,2026,15,128,1,4,2025,0,0,,21
Lettuce Mini Gem // Rosaine,2024,35,128,1,,2023,0,0,,40
Lettuce Mix SN // (Winter) Prismatic + Batavian,2024,35,128,1,,2023,0,0,,40
Lettuce Mix SN // (Winter) Prismatic + Batavian,2024,35,128,1,,2023,0,0,,40
Pepper Carmen // Carmen,2026,12,1900,1,0.2,2026,16,50,5,21
Pepper Carmen // Carmen,2026,12,1900,1,0.2,2026,16,50,5,21
Pepper Carmen // Carmen,2026,12,1900,1,0.2,2026,16,50,5,21
Pepper Carmen // Carmen,2026,12,1900,1,0.2,2026,16,50,5,21
Pepper Hot // Amazing,2026,12,1900,1,0.3,2026,16,50,4,21
Pepper Hot // Jedi Jalapeno,2026,12,1900,1,0.1,2026,16,50,1.5,21
Pepper Shishito // Shishimai,2026,12,1900,1,0.2,2026,16,50,5,21
Basil // Prospera DMR CG1,2026,15,128,2,6,2025,0,0,,21
Celery // merengo,2026,11,1900,1,0.5,2026,15,72,12,21
Scallion // Parade,2026,14,264,4,4,2025,0,0,,21
Bean Snap TP // Nor'easter,2026,19,50,2,16,2025,0,0,,21
Cabbage Flat // Tendersweet,2026,16,72,1,3.5,2025,0,0,,21
Lettuce Mix SN // (Winter) Prismatic + Batavian,2024,33,128,1,,2023,0,0,,38
Lettuce Mix SN // (Winter) Prismatic + Batavian,2024,33,128,1,,2023,0,0,,38
Lettuce Mix SN // (Winter) Prismatic + Batavian,2024,33,128,1,,2023,0,0,,38
