Crop,Variety,Block,Bed Start,Bed End,Planned Plant Date,Planned Bedfeet,Status
Spinach,Kolibri,HT-W,,,2026-09-28,100,Planned
Spinach,Kolibri,HT-W,,,2026-09-28,100,Planned
Spinach,Rangitoto,HT-W,,,2026-09-28,50,Planned
Spinach,Space,HT-W,,,2026-09-28,50,Planned
Spinach,Sunangel,HT-W,,,2026-09-28,50,Planned
Spinach,Tarsier,HT-W,,,2026-09-28,50,Planned
Arugula,Astro,HT-W,,,2026-10-05,50,Planned
Bok Choy,Li Ren Choi,HT-W,,,2026-10-05,55,Planned
Greens Mix Cheap Frills,Cheap Frills,HT-W,,,2026-10-05,50,Planned
Lettuce Mix SN,(Winter) Prismatic + Batavian,HT-W,,,2026-10-05,100,Planned
Bok Choy,Li Ren Choi,HT-W,,,2026-10-12,55,Planned
Lettuce Mix SN,(Winter) Prismatic + Batavian,HT-W,,,2026-10-12,100,Planned
Scallion,Parade,HT-W,,,2026-10-12,100,Planned
Arugula,Astro,HT-W,,,2026-10-19,50,Planned
Bok Choy,Li Ren Choi,HT-W,,,2026-10-19,55,Planned
Greens Mix Cheap Frills,Cheap Frills,HT-W,,,2026-10-19,50,Planned
Bok Choy,Bopak,HT-W,,,2026-10-26,55,Planned
Bok Choy,Bopak,HT-W,,,2026-11-02,55,Planned
Bok Choy,Bopak,HT-W,,,2026-11-09,55,Planned
Bok Choy,Bopak,HT-W,,,2026-11-16,55,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
,,,,,,,Planned
